Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),ISSUES (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),ISSUES (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),ISSUES (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),ISSUES (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),ISSUES (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),ISSUES (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),ISSUES (CHECK 19),STATUS (CHECK 20),TIME (CHECK 20),ISSUES (CHECK 20),STATUS (CHECK 21),TIME (CHECK 21),ISSUES (CHECK 21),DEPTH
AAVE_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,SKIPPED,,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,$7.0K / $7.0K
AxCNH_USDT,CHECKED,00:47:39,A4:MEDIUM,CHECKED,02:58:39,A4:MEDIUM,CHECKED,04:14:00,A4:MEDIUM,CHECKED,05:03:00,A4:MEDIUM,CHECKED,05:56:14,A4:MEDIUM,CHECKED,06:50:46,A4:MEDIUM,CHECKED,08:07:04,A4:MEDIUM,CHECKED,08:52:39,A4:MEDIUM,CHECKED,09:54:03,A4:MEDIUM,CHECKED,10:49:16,A4:MEDIUM,CHECKED,11:49:02,A4:MEDIUM,CHECKED,12:44:11,A4:MEDIUM,CHECKED,14:07:46,A4:MEDIUM,CHECKED,14:51:49,A4:MEDIUM,CHECKED,15:48:00,A4:MEDIUM,WARNING,16:44:59,A4:MEDIUM|STALE:HIGH,CHECKED,17:51:03,A4:MEDIUM,CHECKED,18:45:30,A4:MEDIUM,CHECKED,19:56:13,A4:MEDIUM,CHECKED,20:44:43,A4:MEDIUM,CHECKED,21:48:11,A4:MEDIUM,$295 / $340
ADA_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,$13.8K / $25.2K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,A4:MEDIUM,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,A4:MEDIUM,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,$7.6K / $9.0K
BNB_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,$76.0K / $76.0K
BONK_USDT,CHECKED,00:47:39,A4:MEDIUM,CHECKED,02:58:39,A4:MEDIUM,CHECKED,04:14:00,A4:MEDIUM,CHECKED,05:03:00,A4:MEDIUM,CHECKED,05:56:14,A4:MEDIUM,CHECKED,06:50:46,A4:MEDIUM,CHECKED,08:07:04,A4:MEDIUM,CHECKED,08:52:39,A4:MEDIUM,CHECKED,09:54:03,A4:MEDIUM,CHECKED,10:49:16,A4:MEDIUM,CHECKED,11:49:02,A4:MEDIUM,CHECKED,12:44:11,A4:MEDIUM,CHECKED,14:07:46,A4:MEDIUM,CHECKED,14:51:49,A4:MEDIUM,CHECKED,15:48:00,A4:MEDIUM,CHECKED,16:44:59,A4:MEDIUM,CHECKED,17:51:03,A4:MEDIUM,CHECKED,18:45:30,A4:MEDIUM,CHECKED,19:56:13,A4:MEDIUM,CHECKED,20:44:43,A4:MEDIUM,CHECKED,21:48:11,A4:MEDIUM,$3.5K / $4.0K
BTC_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,$1.09M / $1.27M
CAKE_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,WARNING,06:50:46,A2:HIGH,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,WARNING,16:44:59,STALE:HIGH,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,$33.9K / $43.9K
CFX_USDT,CHECKED,00:47:39,,CHECKED,02:58:39,,CHECKED,04:14:00,,CHECKED,05:03:00,,CHECKED,05:56:14,,CHECKED,06:50:46,,CHECKED,08:07:04,,CHECKED,08:52:39,,CHECKED,09:54:03,,CHECKED,10:49:16,,CHECKED,11:49:02,,CHECKED,12:44:11,,CHECKED,14:07:46,,CHECKED,14:51:49,,CHECKED,15:48:00,,CHECKED,16:44:59,,CHECKED,17:51:03,,CHECKED,18:45:30,,CHECKED,19:56:13,,CHECKED,20:44:43,,CHECKED,21:48:11,,$20.7K / $22.4K
