Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),DEPTH
AAVE_USDT,CHECKED,02:40:10,,CHECKED,07:53:24,,CHECKED,11:24:09,,CHECKED,11:58:23,,CHECKED,14:47:23,,CHECKED,17:46:16,,CHECKED,20:39:11,,CHECKED,22:01:50,,$7.2K / $7.2K
AxCNH_USDT,CHECKED,02:40:10,A4:MEDIUM,WARNING,07:53:24,A2:HIGH|A4:MEDIUM,CHECKED,11:24:09,A4:MEDIUM,CHECKED,11:58:23,A4:MEDIUM,CHECKED,14:47:23,A4:MEDIUM,CHECKED,17:46:16,A4:MEDIUM,CHECKED,20:39:11,A4:MEDIUM,CHECKED,22:01:50,A4:MEDIUM,$134 / $151
ADA_USDT,CHECKED,02:40:10,,CHECKED,07:53:24,,CHECKED,11:24:09,,CHECKED,11:58:23,,CHECKED,14:47:23,,CHECKED,17:46:16,,CHECKED,20:39:11,,CHECKED,22:01:50,,$18.1K / $20.1K
ALGO_USDT,CHECKED,02:40:10,,CHECKED,07:53:24,,CHECKED,11:24:09,,CHECKED,11:58:23,,CHECKED,14:47:23,,CHECKED,17:46:16,,CHECKED,20:39:11,,CHECKED,22:01:50,,$27.6K / $30.7K
BCH_USDT,CHECKED,02:40:10,A4:MEDIUM,CHECKED,07:53:24,,CHECKED,11:24:09,,CHECKED,11:58:23,A4:MEDIUM,CHECKED,14:47:23,,CHECKED,17:46:16,A4:MEDIUM,CHECKED,20:39:11,A2:HIGH,CHECKED,22:01:50,,$5.5K / $6.7K
BNB_USDT,CHECKED,02:40:10,,SKIPPED,,,CHECKED,11:24:09,,CHECKED,11:58:23,,CHECKED,14:47:23,,CHECKED,17:46:16,,CHECKED,20:39:11,,CHECKED,22:01:50,,$32.4K / $32.4K
BONK_USDT,CHECKED,02:40:10,A4:MEDIUM,CHECKED,07:53:24,A4:MEDIUM,CHECKED,11:24:09,,CHECKED,11:58:23,,CHECKED,14:47:23,A4:MEDIUM,CHECKED,17:46:16,A4:MEDIUM,CHECKED,20:39:11,,CHECKED,22:01:50,A4:MEDIUM,$4.5K / $4.9K
BTC_USDT,CHECKED,02:40:10,,CHECKED,07:53:24,,CHECKED,11:24:09,,CHECKED,11:58:23,A2:HIGH,CHECKED,14:47:23,,CHECKED,17:46:16,,CHECKED,20:39:11,,CHECKED,22:01:50,,$850.8K / $1.14M
CAKE_USDT,CHECKED,02:40:10,,WARNING,07:53:24,A2:HIGH|A2:HIGH,CHECKED,11:24:09,,CHECKED,11:58:23,,CHECKED,14:47:23,,CHECKED,17:46:16,,CHECKED,20:39:11,,CHECKED,22:01:50,,$12.4K / $17.4K
CFX_USDT,CHECKED,02:40:10,,CHECKED,07:53:24,,CHECKED,11:24:09,,CHECKED,11:58:23,,CHECKED,14:47:23,,CHECKED,17:46:16,,CHECKED,20:39:11,,CHECKED,22:01:50,,$17.7K / $20.6K
