Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),ISSUES (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),ISSUES (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),ISSUES (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),ISSUES (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),ISSUES (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),ISSUES (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),ISSUES (CHECK 19),STATUS (CHECK 20),TIME (CHECK 20),ISSUES (CHECK 20),STATUS (CHECK 21),TIME (CHECK 21),ISSUES (CHECK 21),STATUS (CHECK 22),TIME (CHECK 22),ISSUES (CHECK 22),DEPTH
AAVE_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,CHECKED,12:00:46,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,WARNING,16:58:12,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,CHECKED,21:55:37,,CHECKED,22:53:24,,$9.5K / $9.5K
AxCNH_USDT,CHECKED,00:46:56,A4:MEDIUM,CHECKED,03:00:29,A4:MEDIUM,CHECKED,04:18:25,A4:MEDIUM,CHECKED,05:08:37,A4:MEDIUM,CHECKED,06:01:58,A4:MEDIUM,CHECKED,06:55:15,A4:MEDIUM,CHECKED,08:16:36,A4:MEDIUM,CHECKED,09:06:50,A4:MEDIUM,CHECKED,10:05:20,A4:MEDIUM,CHECKED,10:58:52,A4:MEDIUM,CHECKED,12:00:46,A4:MEDIUM,SKIPPED,,,CHECKED,14:21:32,A4:MEDIUM,CHECKED,15:10:10,A4:MEDIUM,CHECKED,16:04:02,A4:MEDIUM,CHECKED,16:58:12,A4:MEDIUM,CHECKED,18:01:22,A4:MEDIUM,CHECKED,18:55:27,A4:MEDIUM,CHECKED,20:10:46,A4:MEDIUM,CHECKED,20:54:46,A4:MEDIUM,CHECKED,21:55:37,A4:MEDIUM,CHECKED,22:53:24,A4:MEDIUM,$171 / $184
ADA_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,WARNING,05:08:37,A2:HIGH|A2:HIGH,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,CHECKED,12:00:46,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,A2:HIGH,CHECKED,21:55:37,,CHECKED,22:53:24,,$37.0K / $50.9K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,A4:MEDIUM,CHECKED,06:01:58,,CHECKED,06:55:15,A4:MEDIUM,CHECKED,08:16:36,,CHECKED,09:06:50,A4:MEDIUM,CHECKED,10:05:20,,CHECKED,10:58:52,A4:MEDIUM,CHECKED,12:00:46,,SKIPPED,,,CHECKED,14:21:32,A4:MEDIUM,CHECKED,15:10:10,,CHECKED,16:04:02,A4:MEDIUM,WARNING,16:58:12,A2:HIGH|A2:HIGH|A4:MEDIUM,WARNING,18:01:22,A2:HIGH,CHECKED,18:55:27,,CHECKED,20:10:46,A4:MEDIUM,CHECKED,20:54:46,A4:MEDIUM,CHECKED,21:55:37,,CHECKED,22:53:24,,$7.0K / $9.3K
BNB_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,A2:HIGH,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,CHECKED,12:00:46,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,CHECKED,21:55:37,,CHECKED,22:53:24,,$46.2K / $46.2K
BONK_USDT,CHECKED,00:46:56,A4:MEDIUM,CHECKED,03:00:29,A4:MEDIUM,CHECKED,04:18:25,A4:MEDIUM,CHECKED,05:08:37,A4:MEDIUM,CHECKED,06:01:58,A4:MEDIUM,CHECKED,06:55:15,A4:MEDIUM,CHECKED,08:16:36,A4:MEDIUM,CHECKED,09:06:50,A4:MEDIUM,CHECKED,10:05:20,A4:MEDIUM,CHECKED,10:58:52,A4:MEDIUM,WARNING,12:00:46,A3:CRITICAL|A2:HIGH|A2:HIGH,SKIPPED,,,CHECKED,14:21:32,A4:MEDIUM,CHECKED,15:10:10,A4:MEDIUM,CHECKED,16:04:02,A4:MEDIUM,CHECKED,16:58:12,A4:MEDIUM,CHECKED,18:01:22,A4:MEDIUM,CHECKED,18:55:27,A4:MEDIUM,CHECKED,20:10:46,A4:MEDIUM,CHECKED,20:54:46,A4:MEDIUM,CHECKED,21:55:37,A4:MEDIUM,CHECKED,22:53:24,A4:MEDIUM,$2.2K / $2.4K
BTC_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,A2:HIGH,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,WARNING,12:00:46,A3:CRITICAL|A2:HIGH|A2:HIGH,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,A2:HIGH,CHECKED,20:54:46,,CHECKED,21:55:37,,CHECKED,22:53:24,,$1.83M / $2.42M
CAKE_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,WARNING,12:00:46,A3:CRITICAL|A2:HIGH|A2:HIGH,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,WARNING,16:58:12,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,CHECKED,21:55:37,,CHECKED,22:53:24,,$24.3K / $33.7K
CFX_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,WARNING,06:55:15,A2:HIGH,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,CHECKED,12:00:46,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,A4:MEDIUM,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,CHECKED,21:55:37,,CHECKED,22:53:24,,$13.6K / $15.5K
